case_id,context_length,anchor_id,category,subtype,granularity,distinctiveness,clinical_actionability,class_node_present,judgment,failure_mode,preserved_class,rationale
triple_therapy,8000,A1,CAT,CAT.class,class,low,high,n/a,CORRECT,,n/a,"The answer identifies atrial fibrillation, and the added detail of rapid ventricular response is a more specific description that preserves the anchor class."
triple_therapy,8000,A2,CAT,CAT.class,class,medium,high,n/a,CORRECT,,n/a,"The model explicitly identified the antithrombotic regimen, matching the anchor fact exactly."
triple_therapy,8000,A3,CAT,CAT.class,class,medium,high,n/a,CORRECT,,n/a,"The model explicitly states thromboembolism prophylaxis, matching the anchor fact, with an added clinical context that does not change the indication."
triple_therapy,8000,A4,CAT,CAT.class,class,medium,high,n/a,CORRECT,,n/a,"The answer explicitly states the anchor fact as recurrent nasal bleeding, with epistaxis as a synonymous term and added specificity."
triple_therapy,8000,A5,CAT,CAT.instance,instance,medium,high,true,CORRECT,,True,The model exactly recovered the documented specific subtype of atrial fibrillation: paroxysmal atrial fibrillation.
triple_therapy,8000,A6,CAT,CAT.instance,instance,high,high,true,CORRECT,,True,"The model explicitly names rivaroxaban, which exactly matches the anchor fact."
triple_therapy,8000,A7,CAT,CAT.instance,instance,high,high,true,CORRECT,,True,"The model accurately named the specific thienopyridine antiplatelet agent from the case, prasugrel."
triple_therapy,8000,A8,CAT,CAT.instance,instance,low,high,true,CORRECT,,True,"The model explicitly identifies aspirin, which matches the anchor fact exactly."
triple_therapy,8000,A9,CAT,CAT.instance,instance,high,high,true,CORRECT,,True,The model correctly identified the specific antiplatelet agent clopidogrel.
triple_therapy,8000,A10,CAT,CAT.instance,instance,low,medium,true,CORRECT,,True,"The model named the exact anticoagulant from the case, with a valid brand-generic match to warfarin."
triple_therapy,8000,A11,CAT,CAT.instance,instance,low,high,false,CORRECT,,True,"The answer explicitly identifies coronary artery disease, which matches the anchor fact treated with a stent in the past medical history."
triple_therapy,8000,A12,CAT,CAT.instance,instance,medium,high,false,CORRECT,,True,The model exactly recovered the documented renal diagnosis and stage: chronic kidney disease stage 3.
triple_therapy,8000,A13,CAT,CAT.instance,instance,high,high,true,CORRECT,,True,"The answer exactly recovers the anchor fact “severe posterior nasal hemorrhage,” with only additional procedural detail that does not alter the entity."
triple_therapy,8000,A14,CAT,CAT.qualifier,qualifier,medium,medium,n/a,CORRECT,,n/a,"The model explicitly recovered the qualifier phrase ""rapid ventricular response"" describing the atrial fibrillation."
triple_therapy,8000,A15,CAT,CAT.qualifier,qualifier,high,high,n/a,CORRECT,,n/a,The model exactly recovered both the base entity (rivaroxaban) and the renal-function qualifier (renally dosed).
triple_therapy,8000,A16,CAT,CAT.qualifier,qualifier,medium,high,n/a,CORRECT,,n/a,The response exactly recovered the anchor fact by stating the patient previously received a bare metal coronary stent.
triple_therapy,8000,A17,CAT,CAT.negated,n/a,high,medium,n/a,CORRECT,,n/a,The response preserves the negated meaning that he previously refused warfarin therapy.
triple_therapy,8000,A18,CAT,CAT.negated,n/a,medium,medium,n/a,INCORRECT,negation_loss,n/a,"The model reported affirmative congestive heart failure with preserved ejection fraction, but the anchor is a negated finding and the required negation was not preserved."
triple_therapy,8000,A19,TEMP,TEMP.duration,n/a,medium,low,n/a,CORRECT,,n/a,"The model correctly recovered the duration as one day, matching the anchor fact's numeric duration."
triple_therapy,8000,A20,TEMP,TEMP.since,n/a,medium,medium,n/a,CORRECT,,n/a,The answer preserves both the elapsed time (6 months) and the referenced event (prior to presentation).
