position,token,surprisal_bits,category
0,B,nan,true_boilerplate
1,le,8.751639366149902,medical_vocabulary
2,eding,0.5446640849113464,clinical_entity
3, Comp,13.363508224487305,medical_vocabulary
4,lication,2.1892879009246826,medical_vocabulary
5, of,3.1026344299316406,true_boilerplate
6, Triple,11.976222038269043,clinical_entity
7, Therapy,1.6460310220718384,clinical_entity
8, of,6.102798938751221,true_boilerplate
9, Riv,10.828658103942871,medical_vocabulary
10,ar,0.19510827958583832,medical_vocabulary
11,ox,0.0004230152990203351,medical_vocabulary
12,aban,0.0008749543339945376,clinical_entity
13,",",0.3364487886428833,true_boilerplate
14, Pr,8.569685935974121,medical_vocabulary
15,as,8.168944623321295e-05,true_boilerplate
16,ug,0.00046307494631037116,numeric
17,rel,0.00017902282706927508,medical_vocabulary
18,",",0.4553566873073578,true_boilerplate
19, and,0.006570232100784779,true_boilerplate
20, As,1.2164788246154785,true_boilerplate
21,pir,1.5478355635423213e-05,medical_vocabulary
22,in,0.00010421771730761975,true_boilerplate
23,:,3.12492299079895,true_boilerplate
24, A,0.4215622842311859,true_boilerplate
25, Case,0.4516359865665436,true_boilerplate
26, Report,0.09303562343120575,true_boilerplate
27, and,1.9956152439117432,true_boilerplate
28, General,15.593971252441406,true_boilerplate
29, Discussion,5.7662672996521,medical_vocabulary
30,"

",0.9114164710044861,true_boilerplate
31,D,7.312460899353027,true_boilerplate
32,ane,13.924092292785645,medical_vocabulary
33, D,7.010475158691406,true_boilerplate
34,.,1.242807149887085,true_boilerplate
35, G,6.038926601409912,numeric
36,ru,6.199753761291504,medical_vocabulary
37,ene,8.845730781555176,medical_vocabulary
38,baum,4.8143839836120605,medical_vocabulary
39,",",0.19147104024887085,true_boilerplate
40, Ahmad,15.348360061645508,medical_vocabulary
41, Als,10.658976554870605,medical_vocabulary
42,arah,12.68281364440918,medical_vocabulary
43,",",0.1357022374868393,true_boilerplate
44, Osama,12.560358047485352,medical_vocabulary
45, Als,6.435060501098633,medical_vocabulary
46,ara,5.561988353729248,medical_vocabulary
47,",",1.1631964445114136,true_boilerplate
48, and,4.7063679695129395,true_boilerplate
49, Heather,10.064233779907227,medical_vocabulary
50, Lair,15.853408813476562,medical_vocabulary
51,d,0.10972801595926285,true_boilerplate
52,-F,9.371726989746094,true_boilerplate
53,ick,4.842414379119873,medical_vocabulary
54,"
",2.978670358657837,true_boilerplate
55,Department,1.8732404708862305,clinical_entity
56, of,0.0005175749538466334,true_boilerplate
57, Internal,1.8516340255737305,medical_vocabulary
58, Medicine,0.0002675801806617528,medical_vocabulary
59,",",0.0546736977994442,true_boilerplate
60, Michigan,7.856119155883789,medical_vocabulary
61, State,0.04452836513519287,true_boilerplate
62, University,0.00013259254046715796,true_boilerplate
63,"
",7.751945972442627,true_boilerplate
64,Published,8.187409400939941,true_boilerplate
65, ,5.2388410568237305,true_boilerplate
66,1,2.6380748748779297,numeric
67,1,2.974992275238037,numeric
68, March,5.459305763244629,true_boilerplate
69, ,0.01290137879550457,true_boilerplate
70,2,0.0021505870390683413,numeric
71,0,1.3758605064140284e-06,numeric
72,1,1.5213336944580078,numeric
73,4,4.366749286651611,numeric
74,"

",1.076972246170044,true_boilerplate
75,1,7.184144020080566,numeric
76,.,0.07022054493427277,true_boilerplate
77, Introduction,0.30514341592788696,medical_vocabulary
78,"

",1.9666093587875366,true_boilerplate
79,Several,9.202777862548828,true_boilerplate
80, options,8.13127326965332,medical_vocabulary
81,",",9.265743255615234,true_boilerplate
82, with,6.586820602416992,true_boilerplate
83, well,10.869148254394531,true_boilerplate
84,-described,8.48352336883545,true_boilerplate
85, bleeding,5.559146404266357,clinical_entity
86, risks,1.1825294494628906,medical_vocabulary
87,",",0.15168271958827972,true_boilerplate
88, exist,1.7452325820922852,medical_vocabulary
89, for,0.11201532185077667,true_boilerplate
90, the,1.840370535850525,true_boilerplate
91, chem,15.347118377685547,medical_vocabulary
92,op,0.042643629014492035,medical_vocabulary
93,roph,0.11385516822338104,medical_vocabulary
94,yl,0.0006917203427292407,medical_vocabulary
95,axis,0.009800090454518795,medical_vocabulary
96, of,0.11438208818435669,true_boilerplate
97, throm,4.785274028778076,clinical_entity
98,bot,3.8316283226013184,medical_vocabulary
99,ic,1.0318955219190684e-06,medical_vocabulary
100, complications,7.294931411743164,medical_vocabulary
101, of,4.1646809577941895,true_boilerplate
102, either,11.483003616333008,true_boilerplate
103, atr,3.7539079189300537,medical_vocabulary
104,ial,0.00014170673966873437,medical_vocabulary
105, fibr,0.012598283588886261,clinical_entity
106,illation,1.0146940439881291e-05,clinical_entity
107, or,0.861224353313446,true_boilerplate
108, coronary,1.3795892000198364,clinical_entity
109, st,9.953170776367188,true_boilerplate
110,ents,0.49407708644866943,medical_vocabulary
111, in,5.753596782684326,true_boilerplate
112, isolation,20.497417449951172,medical_vocabulary
113,.,0.1681787371635437,true_boilerplate
114, However,1.0064786672592163,true_boilerplate
115,",",0.0006188328261487186,true_boilerplate
116, therapy,13.528441429138184,clinical_entity
117, is,4.8197479248046875,true_boilerplate
118, less,5.596949577331543,true_boilerplate
119, clear,0.8484137654304504,clinical_entity
120, when,0.7384012937545776,true_boilerplate
121, the,4.346885681152344,true_boilerplate
122, two,1.3454792499542236,true_boilerplate
123, conditions,1.5254861116409302,medical_vocabulary
124, are,2.7552993297576904,true_boilerplate
125, com,4.855479717254639,medical_vocabulary
126,or,0.00048284645890817046,true_boilerplate
127,bid,1.5822317436686717e-05,numeric
128,.,0.5344868302345276,true_boilerplate
129, The,2.650888442993164,true_boilerplate
130," """,9.36703109741211,true_boilerplate
131,gold,11.307308197021484,true_boilerplate
132, standard,0.05910462141036987,true_boilerplate
133,"""",0.010126658715307713,true_boilerplate
134, therapies,9.102252006530762,medical_vocabulary
135, differ,9.405620574951172,medical_vocabulary
136, for,2.5534417629241943,true_boilerplate
137, each,0.9150523543357849,true_boilerplate
138, and,9.596796989440918,true_boilerplate
